comm_cost,cost_mode,n_clients,max_iter,trial,predicted_global,effective_predicted_global,actual_global,effective_actual_global
0.1,fixed,10,100,1,0.8918341496154462,0.7918341496154462,0.9239956568946797,0.8239956568946797
0.1,fixed,10,100,2,0.9000323396810933,0.8000323396810933,0.9218241042345277,0.8218241042345277
0.1,fixed,10,100,3,0.9053886663832275,0.8053886663832275,0.9294245385450597,0.8294245385450597
0.1,fixed,10,100,4,0.927365714666321,0.827365714666321,0.9294245385450597,0.8294245385450597
0.1,fixed,10,100,5,0.90719581223641,0.80719581223641,0.9174809989142236,0.8174809989142237
0.1,fixed,10,100,6,0.9138522811997156,0.8138522811997156,0.9207383279044516,0.8207383279044517
0.1,fixed,10,100,7,0.8949126954941138,0.7949126954941138,0.9174809989142236,0.8174809989142237
0.1,fixed,10,100,8,0.9047516529586818,0.8047516529586818,0.9294245385450597,0.8294245385450597
0.1,fixed,10,100,9,0.9280086696738805,0.8280086696738805,0.9185667752442996,0.8185667752442997
0.1,fixed,10,100,10,0.9301815231469551,0.8301815231469551,0.9207383279044516,0.8207383279044517
0.1,fixed,10,100,11,0.9099731371864856,0.8099731371864857,0.9207383279044516,0.8207383279044517
0.1,fixed,10,100,12,0.900265140826988,0.8002651408269881,0.9305103148751357,0.8305103148751357
0.1,fixed,10,100,13,0.9082923829535753,0.8082923829535753,0.9250814332247557,0.8250814332247557
0.1,fixed,10,100,14,0.8793187979740953,0.7793187979740953,0.9174809989142236,0.8174809989142237
0.1,fixed,10,100,15,0.8874061264177732,0.7874061264177732,0.9196525515743756,0.8196525515743757
0.1,fixed,10,100,16,0.904601233087826,0.804601233087826,0.9261672095548317,0.8261672095548317
0.1,fixed,10,100,17,0.8949515486097854,0.7949515486097855,0.9326818675352877,0.8326818675352877
0.1,fixed,10,100,18,0.8993877793158218,0.7993877793158218,0.9305103148751357,0.8305103148751357
0.1,fixed,10,100,19,0.8997907780346246,0.7997907780346246,0.9131378935939196,0.8131378935939196
0.1,fixed,10,100,20,0.9107242758412489,0.810724275841249,0.9142236699239956,0.8142236699239956
0.1,fixed,10,100,21,0.9138579623035574,0.8138579623035574,0.9229098805646037,0.8229098805646037
0.1,fixed,10,100,22,0.9228949460771708,0.8228949460771708,0.9120521172638436,0.8120521172638436
0.1,fixed,10,100,23,0.8988822370968415,0.7988822370968415,0.9283387622149837,0.8283387622149837
0.1,fixed,10,100,24,0.9037094777804654,0.8037094777804654,0.9218241042345277,0.8218241042345277
0.1,fixed,10,100,25,0.9032290950562982,0.8032290950562982,0.9196525515743756,0.8196525515743757
0.1,fixed,10,100,26,0.9095067802668022,0.8095067802668022,0.9229098805646037,0.8229098805646037
0.1,fixed,10,100,27,0.9196962951129997,0.8196962951129997,0.9185667752442996,0.8185667752442997
0.1,fixed,10,100,28,0.9243188700536993,0.8243188700536993,0.9337676438653637,0.8337676438653637
0.1,fixed,10,100,29,0.9025464162261718,0.8025464162261718,0.9066232356134636,0.8066232356134636
0.1,fixed,10,100,30,0.8936509561791796,0.7936509561791796,0.9250814332247557,0.8250814332247557
0.1,fixed,10,100,31,0.8893074953555642,0.7893074953555642,0.9163952225841476,0.8163952225841477
0.1,fixed,10,100,32,0.909591774523418,0.809591774523418,0.9261672095548317,0.8261672095548317
0.1,fixed,10,100,33,0.8896297068075691,0.7896297068075692,0.9239956568946797,0.8239956568946797
0.1,fixed,10,100,34,0.9117680717198094,0.8117680717198095,0.9315960912052117,0.8315960912052117
0.1,fixed,10,100,35,0.9108031742731717,0.8108031742731717,0.9326818675352877,0.8326818675352877
0.1,fixed,10,100,36,0.900103872682468,0.8001038726824681,0.9163952225841476,0.8163952225841477
0.1,fixed,10,100,37,0.9178784625748426,0.8178784625748426,0.9218241042345277,0.8218241042345277
0.1,fixed,10,100,38,0.8905315022240488,0.7905315022240488,0.9370249728555917,0.8370249728555917
0.1,fixed,10,100,39,0.9120038438690129,0.8120038438690129,0.9196525515743756,0.8196525515743757
0.1,fixed,10,100,40,0.9112622907615182,0.8112622907615182,0.9250814332247557,0.8250814332247557
0.1,fixed,10,100,41,0.8856294915630015,0.7856294915630015,0.9250814332247557,0.8250814332247557
0.1,fixed,10,100,42,0.9057121078180631,0.8057121078180631,0.9207383279044516,0.8207383279044517
0.1,fixed,10,100,43,0.9095805604012765,0.8095805604012766,0.9087947882736156,0.8087947882736156
0.1,fixed,10,100,44,0.9075632847633587,0.8075632847633587,0.9131378935939196,0.8131378935939196
0.1,fixed,10,100,45,0.9110633082397672,0.8110633082397672,0.9381107491856677,0.8381107491856677
0.1,fixed,10,100,46,0.8925666861426282,0.7925666861426283,0.9120521172638436,0.8120521172638436
0.1,fixed,10,100,47,0.886655232352545,0.786655232352545,0.9087947882736156,0.8087947882736156
0.1,fixed,10,100,48,0.8866329249978246,0.7866329249978247,0.9153094462540716,0.8153094462540716
0.1,fixed,10,100,49,0.9272611715705126,0.8272611715705126,0.9337676438653637,0.8337676438653637
0.1,fixed,10,100,50,0.8881405335892274,0.7881405335892274,0.9218241042345277,0.8218241042345277
0.1,fixed,10,100,51,0.8894270174216395,0.7894270174216396,0.9174809989142236,0.8174809989142237
0.1,fixed,10,100,52,0.9349946113019312,0.8349946113019312,0.9489685124864278,0.8489685124864278
0.1,fixed,10,100,53,0.9274653742206546,0.8274653742206546,0.9391965255157437,0.8391965255157438
