comm_cost,cost_mode,n_clients,trial,best_client_acc,predicted_global,effective_predicted_global,actual_global,effective_actual_global
0.0,fixed,10,1,0.8762214983713354,0.8918341496154462,0.8918341496154462,0.9239956568946797,0.9239956568946797
0.0,fixed,10,2,0.8805646036916395,0.9000323396810933,0.9000323396810933,0.9218241042345277,0.9218241042345277
0.0,fixed,10,3,0.8794788273615635,0.9053886663832275,0.9053886663832275,0.9294245385450597,0.9294245385450597
0.0,fixed,10,4,0.8903365906623235,0.927365714666321,0.927365714666321,0.9294245385450597,0.9294245385450597
0.0,fixed,10,5,0.8849077090119435,0.90719581223641,0.90719581223641,0.9174809989142236,0.9174809989142236
0.0,fixed,10,6,0.8827361563517915,0.9138522811997156,0.9138522811997156,0.9207383279044516,0.9207383279044516
0.0,fixed,10,7,0.8740499457111836,0.8949126954941138,0.8949126954941138,0.9174809989142236,0.9174809989142236
0.0,fixed,10,8,0.8816503800217155,0.9047516529586818,0.9047516529586818,0.9294245385450597,0.9294245385450597
0.0,fixed,10,9,0.8903365906623235,0.9280086696738805,0.9280086696738805,0.9185667752442996,0.9185667752442996
0.0,fixed,10,10,0.8957654723127035,0.9301815231469551,0.9301815231469551,0.9207383279044516,0.9207383279044516
0.0,fixed,10,11,0.8870792616720955,0.9099731371864856,0.9099731371864856,0.9207383279044516,0.9207383279044516
0.0,fixed,10,12,0.8914223669923995,0.900265140826988,0.900265140826988,0.9305103148751357,0.9305103148751357
0.0,fixed,10,13,0.8914223669923995,0.9082923829535753,0.9082923829535753,0.9250814332247557,0.9250814332247557
0.0,fixed,10,14,0.8849077090119435,0.8793187979740953,0.8793187979740953,0.9174809989142236,0.9174809989142236
0.0,fixed,10,15,0.8729641693811075,0.8874061264177732,0.8874061264177732,0.9196525515743756,0.9196525515743756
0.0,fixed,10,16,0.8892508143322475,0.904601233087826,0.904601233087826,0.9261672095548317,0.9261672095548317
0.0,fixed,10,17,0.8697068403908795,0.8949515486097854,0.8949515486097854,0.9326818675352877,0.9326818675352877
0.0,fixed,10,18,0.8718783930510315,0.8993877793158218,0.8993877793158218,0.9305103148751357,0.9305103148751357
0.0,fixed,10,19,0.8794788273615635,0.8997907780346246,0.8997907780346246,0.9131378935939196,0.9131378935939196
0.0,fixed,10,20,0.8773072747014115,0.9107242758412489,0.9107242758412489,0.9142236699239956,0.9142236699239956
0.0,fixed,10,21,0.8881650380021715,0.9138579623035574,0.9138579623035574,0.9229098805646037,0.9229098805646037
0.0,fixed,10,22,0.8838219326818675,0.9228949460771708,0.9228949460771708,0.9120521172638436,0.9120521172638436
0.0,fixed,10,23,0.8729641693811075,0.8988822370968415,0.8988822370968415,0.9283387622149837,0.9283387622149837
0.0,fixed,10,24,0.8827361563517915,0.9037094777804654,0.9037094777804654,0.9218241042345277,0.9218241042345277
0.0,fixed,10,25,0.8968512486427795,0.9032290950562982,0.9032290950562982,0.9196525515743756,0.9196525515743756
0.0,fixed,10,26,0.8762214983713354,0.9095067802668022,0.9095067802668022,0.9229098805646037,0.9229098805646037
0.0,fixed,10,27,0.8838219326818675,0.9196962951129997,0.9196962951129997,0.9185667752442996,0.9185667752442996
0.0,fixed,10,28,0.8957654723127035,0.9243188700536993,0.9243188700536993,0.9337676438653637,0.9337676438653637
0.0,fixed,10,29,0.8697068403908795,0.9025464162261718,0.9025464162261718,0.9066232356134636,0.9066232356134636
0.0,fixed,10,30,0.8892508143322475,0.8936509561791796,0.8936509561791796,0.9250814332247557,0.9250814332247557
0.0,fixed,10,31,0.8859934853420195,0.8893074953555642,0.8893074953555642,0.9163952225841476,0.9163952225841476
0.0,fixed,10,32,0.8794788273615635,0.909591774523418,0.909591774523418,0.9261672095548317,0.9261672095548317
0.0,fixed,10,33,0.8718783930510315,0.8896297068075691,0.8896297068075691,0.9239956568946797,0.9239956568946797
0.0,fixed,10,34,0.9077090119435396,0.9117680717198094,0.9117680717198094,0.9315960912052117,0.9315960912052117
0.0,fixed,10,35,0.8892508143322475,0.9108031742731717,0.9108031742731717,0.9326818675352877,0.9326818675352877
0.0,fixed,10,36,0.8979370249728555,0.900103872682468,0.900103872682468,0.9163952225841476,0.9163952225841476
0.0,fixed,10,37,0.9022801302931596,0.9178784625748426,0.9178784625748426,0.9218241042345277,0.9218241042345277
0.0,fixed,10,38,0.8957654723127035,0.8905315022240488,0.8905315022240488,0.9370249728555917,0.9370249728555917
0.0,fixed,10,39,0.8903365906623235,0.9120038438690129,0.9120038438690129,0.9196525515743756,0.9196525515743756
0.0,fixed,10,40,0.8783930510314875,0.9112622907615182,0.9112622907615182,0.9250814332247557,0.9250814332247557
0.0,fixed,10,41,0.8686210640608035,0.8856294915630015,0.8856294915630015,0.9250814332247557,0.9250814332247557
0.0,fixed,10,42,0.9001085776330076,0.9057121078180631,0.9057121078180631,0.9207383279044516,0.9207383279044516
0.0,fixed,10,43,0.8718783930510315,0.9095805604012765,0.9095805604012765,0.9087947882736156,0.9087947882736156
0.0,fixed,10,44,0.8773072747014115,0.9075632847633587,0.9075632847633587,0.9131378935939196,0.9131378935939196
0.0,fixed,10,45,0.8827361563517915,0.9110633082397672,0.9110633082397672,0.9381107491856677,0.9381107491856677
0.0,fixed,10,46,0.8707926167209555,0.8925666861426282,0.8925666861426282,0.9120521172638436,0.9120521172638436
0.0,fixed,10,47,0.8805646036916395,0.886655232352545,0.886655232352545,0.9087947882736156,0.9087947882736156
0.0,fixed,10,48,0.8794788273615635,0.8866329249978246,0.8866329249978246,0.9153094462540716,0.9153094462540716
0.0,fixed,10,49,0.8957654723127035,0.9272611715705126,0.9272611715705126,0.9337676438653637,0.9337676438653637
0.0,fixed,10,50,0.8751357220412594,0.8881405335892274,0.8881405335892274,0.9218241042345277,0.9218241042345277
0.0,fixed,10,51,0.8729641693811075,0.8894270174216395,0.8894270174216395,0.9174809989142236,0.9174809989142236
0.0,fixed,10,52,0.9066232356134636,0.9349946113019312,0.9349946113019312,0.9489685124864278,0.9489685124864278
0.0,fixed,10,53,0.8914223669923995,0.9274653742206546,0.9274653742206546,0.9391965255157437,0.9391965255157437
0.0,fixed,10,54,0.8827361563517915,0.8960413336937006,0.8960413336937006,0.9326818675352877,0.9326818675352877
0.0,fixed,10,55,0.8773072747014115,0.9069434191934425,0.9069434191934425,0.9337676438653637,0.9337676438653637
0.0,fixed,10,56,0.8783930510314875,0.8933320443034811,0.8933320443034811,0.9153094462540716,0.9153094462540716
0.0,fixed,10,57,0.8783930510314875,0.889910286438213,0.889910286438213,0.9370249728555917,0.9370249728555917
