comm_cost,cost_mode,n_clients,trial,best_client_acc,predicted_global,effective_predicted_global,actual_global,effective_actual_global
0.08,fixed,10,1,0.8119625307125307,0.847492327344295,0.7674923273442951,0.8548065110565111,0.7748065110565111
0.08,fixed,10,2,0.8114250614250614,0.8451515521707325,0.7651515521707325,0.8548065110565111,0.7748065110565111
0.08,fixed,10,3,0.8139588452088452,0.8523197000182168,0.7723197000182168,0.8566492628992629,0.776649262899263
0.08,fixed,10,4,0.8115786240786241,0.8446869828937172,0.7646869828937173,0.8513513513513513,0.7713513513513514
0.08,fixed,10,5,0.8107340294840295,0.8427757609125145,0.7627757609125145,0.8531941031941032,0.7731941031941032
0.08,fixed,10,6,0.8138820638820639,0.8450835951883592,0.7650835951883592,0.8538083538083538,0.7738083538083539
0.08,fixed,10,7,0.8152641277641277,0.848090153793547,0.7680901537935471,0.8523495085995086,0.7723495085995087
0.08,fixed,10,8,0.8117321867321867,0.8469075365776007,0.7669075365776007,0.8566492628992629,0.776649262899263
0.08,fixed,10,9,0.8095055282555282,0.8439292638811426,0.7639292638811427,0.8487407862407862,0.7687407862407862
0.08,fixed,10,10,0.8128071253071253,0.8488338169841972,0.7688338169841973,0.8580313267813268,0.7780313267813268
0.08,fixed,10,11,0.8141124078624079,0.8475608252485219,0.767560825248522,0.8543458230958231,0.7743458230958231
0.08,fixed,10,12,0.8134213759213759,0.8407072788923944,0.7607072788923944,0.8587223587223587,0.7787223587223587
0.08,fixed,10,13,0.8132678132678133,0.8472593496814922,0.7672593496814922,0.8528101965601965,0.7728101965601966
0.08,fixed,10,14,0.8134981572481572,0.850241351089435,0.770241351089435,0.8521959459459459,0.772195945945946
0.08,fixed,10,15,0.8174907862407862,0.8536466666470578,0.7736466666470578,0.8568028255528255,0.7768028255528255
0.08,fixed,10,16,0.8133445945945946,0.8500161874120559,0.7700161874120559,0.8530405405405406,0.7730405405405406
0.08,fixed,10,17,0.8068949631449631,0.8439428857296795,0.7639428857296795,0.8488943488943489,0.7688943488943489
0.08,fixed,10,18,0.8107340294840295,0.8416582482964046,0.7616582482964046,0.8544993857493858,0.7744993857493858
0.08,fixed,10,19,0.8141124078624079,0.8501748718102438,0.7701748718102438,0.8601812039312039,0.7801812039312039
0.08,fixed,10,20,0.8108108108108109,0.8431327919382908,0.7631327919382909,0.8509674447174447,0.7709674447174447
0.08,fixed,10,21,0.8170300982800983,0.8476267446663984,0.7676267446663985,0.8567260442260443,0.7767260442260443
0.08,fixed,10,22,0.8182585995085995,0.8511650534095965,0.7711650534095965,0.8562653562653563,0.7762653562653563
0.08,fixed,10,23,0.8132678132678133,0.8480399610036576,0.7680399610036577,0.851044226044226,0.7710442260442261
0.08,fixed,10,24,0.816722972972973,0.8494777061237945,0.7694777061237945,0.8538083538083538,0.7738083538083539
0.08,fixed,10,25,0.8108875921375921,0.8447913537168139,0.764791353716814,0.8544226044226044,0.7744226044226045
0.08,fixed,10,26,0.8122696560196561,0.8414414895331904,0.7614414895331905,0.8521191646191646,0.7721191646191646
0.08,fixed,10,27,0.8179514742014742,0.8462282742177714,0.7662282742177714,0.8524262899262899,0.7724262899262899
0.08,fixed,10,28,0.8131142506142506,0.8510950371624458,0.7710950371624459,0.8534244471744472,0.7734244471744472
0.08,fixed,10,29,0.8138820638820639,0.8452335936734388,0.7652335936734388,0.8531173218673219,0.773117321867322
0.08,fixed,10,30,0.816722972972973,0.8494777061237945,0.7694777061237945,0.8538083538083538,0.7738083538083539
0.08,fixed,10,31,0.8157248157248157,0.8435488684163628,0.7635488684163628,0.8530405405405406,0.7730405405405406
0.08,fixed,10,32,0.8128839066339066,0.848304868784398,0.7683048687843981,0.8561885749385749,0.776188574938575
0.08,fixed,10,33,0.8139588452088452,0.8457379957347125,0.7657379957347126,0.8561117936117936,0.7761117936117936
0.08,fixed,10,34,0.8118857493857494,0.8467660612785661,0.7667660612785662,0.8540386977886978,0.7740386977886978
0.08,fixed,10,35,0.8132678132678133,0.852000487020364,0.7720004870203641,0.8530405405405406,0.7730405405405406
0.08,fixed,10,36,0.8115018427518428,0.8470116204459033,0.7670116204459033,0.8533476658476659,0.7733476658476659
0.08,fixed,10,37,0.8131910319410319,0.8370715504187355,0.7570715504187355,0.8566492628992629,0.776649262899263
0.08,fixed,10,38,0.8125,0.8496341731957686,0.7696341731957687,0.855267199017199,0.7752671990171991
0.08,fixed,10,39,0.8111947174447175,0.8402877488235296,0.7602877488235297,0.8541154791154791,0.7741154791154792
0.08,fixed,10,40,0.8139588452088452,0.8455165049179082,0.7655165049179082,0.8568028255528255,0.7768028255528255
0.08,fixed,10,41,0.8138052825552825,0.853285276032961,0.773285276032961,0.8539619164619164,0.7739619164619165
0.08,fixed,10,42,0.8106572481572482,0.8454083024168304,0.7654083024168304,0.8537315724815725,0.7737315724815725
0.08,fixed,10,43,0.8117321867321867,0.8454353198999345,0.7654353198999345,0.8533476658476659,0.7733476658476659
0.08,fixed,10,44,0.8114250614250614,0.8465457811392757,0.7665457811392757,0.8523495085995086,0.7723495085995087
0.08,fixed,10,45,0.8128839066339066,0.8460268387039113,0.7660268387039113,0.8518120393120393,0.7718120393120393
0.08,fixed,10,46,0.8101197788697788,0.8481387935174965,0.7681387935174966,0.851044226044226,0.7710442260442261
0.08,fixed,10,47,0.8093519656019657,0.8412366040355495,0.7612366040355495,0.8525798525798526,0.7725798525798526
0.08,fixed,10,48,0.8147266584766585,0.8499875020398222,0.7699875020398222,0.8547297297297297,0.7747297297297298
0.08,fixed,10,49,0.8115018427518428,0.8426703700372463,0.7626703700372464,0.8551136363636364,0.7751136363636364
0.08,fixed,10,50,0.8128839066339066,0.8453727567007525,0.7653727567007526,0.8546529484029484,0.7746529484029484
0.08,fixed,10,51,0.816031941031941,0.84651631335717,0.7665163133571701,0.8573402948402948,0.7773402948402949
0.08,fixed,10,52,0.8134981572481572,0.8523639466927228,0.7723639466927228,0.8540386977886978,0.7740386977886978
0.08,fixed,10,53,0.8132678132678133,0.8473471125542986,0.7673471125542987,0.855958230958231,0.775958230958231
0.08,fixed,10,54,0.8107340294840295,0.8416582482964046,0.7616582482964046,0.8544993857493858,0.7744993857493858
0.08,fixed,10,55,0.8134213759213759,0.8504469101950756,0.7704469101950756,0.8549600737100738,0.7749600737100738
0.08,fixed,10,56,0.8134213759213759,0.8480740461144683,0.7680740461144684,0.8560350122850123,0.7760350122850124
0.08,fixed,10,57,0.8131142506142506,0.8445331006799753,0.7645331006799754,0.8546529484029484,0.7746529484029484
0.08,fixed,10,58,0.8083538083538083,0.8428769593519242,0.7628769593519242,0.8554207616707616,0.7754207616707617
0.08,fixed,10,59,0.8105036855036855,0.8437387680510683,0.7637387680510683,0.855497542997543,0.775497542997543
0.08,fixed,10,60,0.8123464373464373,0.844790254818196,0.7647902548181961,0.8501996314496314,0.7701996314496314
0.08,fixed,10,61,0.812960687960688,0.8478356367326589,0.767835636732659,0.8547297297297297,0.7747297297297298
0.08,fixed,10,62,0.8103501228501229,0.8400843552800435,0.7600843552800436,0.8537315724815725,0.7737315724815725
0.08,fixed,10,63,0.8121160933660934,0.84707108017421,0.76707108017421,0.8544993857493858,0.7744993857493858
0.08,fixed,10,64,0.8123464373464373,0.8428793431674703,0.7628793431674703,0.8546529484029484,0.7746529484029484
0.08,fixed,10,65,0.8167997542997543,0.8552156287060299,0.7752156287060299,0.8569563882063882,0.7769563882063882
0.08,fixed,10,66,0.8144963144963145,0.8472962583113273,0.7672962583113273,0.8561117936117936,0.7761117936117936
0.08,fixed,10,67,0.8106572481572482,0.8445695013987085,0.7645695013987085,0.8535012285012284,0.7735012285012285
0.08,fixed,10,68,0.8134981572481572,0.8483474674671163,0.7683474674671164,0.8551136363636364,0.7751136363636364
0.08,fixed,10,69,0.8134981572481572,0.8461317969150552,0.7661317969150553,0.8563421375921376,0.7763421375921377
0.08,fixed,10,70,0.808737714987715,0.8417875484707935,0.7617875484707936,0.8551136363636364,0.7751136363636364
0.08,fixed,10,71,0.8130374692874693,0.8510159663033505,0.7710159663033506,0.8532708845208845,0.7732708845208845
0.08,fixed,10,72,0.8121160933660934,0.8412000211171784,0.7612000211171784,0.8571099508599509,0.7771099508599509
0.08,fixed,10,73,0.8068949631449631,0.8439428857296795,0.7639428857296795,0.8488943488943489,0.7688943488943489
0.08,fixed,10,74,0.8109643734643734,0.8440563638315967,0.7640563638315967,0.8555743243243243,0.7755743243243244
0.08,fixed,10,75,0.8178746928746928,0.8511067606086609,0.7711067606086609,0.855036855036855,0.775036855036855
0.08,fixed,10,76,0.8121160933660934,0.8456368359441933,0.7656368359441933,0.855497542997543,0.775497542997543
